sample_name,input_bases,mapped_bases,genome_length,average_cov,percent_mapped_bases
AN0L1G2.gd,781003598,735896700,2160842,340.56,0.942245
AN0L1G3.gd,769059743,712851822,2160842,329.895,0.926913
AN0L1G4.gd,1565660088,1488580690,2160842,688.889,0.950769
AN0L1G5.gd,674704459,621365747,2160842,287.557,0.920945
AN0L1G6.gd,232107802,189425099,2160842,87.6626,0.816108
AN0L1G7.gd,1159979873,1086207159,2160842,502.678,0.936402
AN0L1G8.gd,1317655174,1094994113,2160842,506.744,0.831017
AN0L1G9.gd,2045008950,1978585588,2160842,915.655,0.967519
AN0L2G0.gd,1483983093,1412079662,2160842,653.486,0.951547
AN0L2G10.gd,198407936,181184494,2160842,83.849,0.913192
AN0L2G11.gd,63356701,58547125,2160842,27.0946,0.924087
AN0L2G12.gd,462835585,438515835,2160842,202.937,0.947455
AN0L2G13.gd,318097097,310098970,2160842,143.508,0.974856
AN0L2G14.gd,364190652,350785934,2160842,162.338,0.963193
AN0L2G1.gd,400675531,375586699,2160842,173.815,0.937384
AN0L2G2.gd,603745623,562563293,2160842,260.344,0.931789
AN0L2G3.gd,1040218459,978177781,2160842,452.684,0.940358
AN0L2G4.gd,1072772666,1039413657,2160842,481.023,0.968904
AN0L2G5.gd,36251403,31766447,2160842,14.701,0.876282
AN0L2G6.gd,25743939,21216301,2160842,9.81853,0.824128
AN0L2G7.gd,61558501,55492148,2160842,25.6808,0.901454
AN0L2G8.gd,59340405,53451404,2160842,24.7364,0.900759
AN0L2G9.gd,65919632,61506360,2160842,28.4641,0.933051
AN0L3G0.gd,945395782,903904513,2160842,418.311,0.956112
AN0L3G10.gd,1535352025,1469568985,2160842,680.091,0.957154
AN0L3G11.gd,84229422,77956675,2160842,36.077,0.925528
AN0L3G12.gd,1387078359,1320923306,2160842,611.3,0.952306
AN0L3G13.gd,2052227693,1981971291,2160842,917.222,0.965766
AN0L3G14.gd,1359765419,1262070183,2160842,584.064,0.928153
AN0L3G1.gd,527625382,504033526,2160842,233.258,0.955287
AN0L3G2.gd,93969638,86509390,2160842,40.035,0.92061
AN0L3G3.gd,1062209696,1023539998,2160842,473.676,0.963595
AN0L3G4.gd,58381790,54837038,2160842,25.3776,0.939283
AN0L3G5.gd,651582685,538783491,2160842,249.34,0.826884
AN0L3G6.gd,211400518,190625839,2160842,88.2183,0.901728
AN0L3G7.gd,252578949,233985968,2160842,108.285,0.926387
AN0L3G8.gd,188802073,160214442,2160842,74.1445,0.848584
AN0L3G9.gd,1100581327,1011752721,2160842,468.222,0.919289
ANDL1G0.gd,56472307,35310982,2160842,16.3413,0.62528
ANDL1G10.gd,197676187,171446518,2160842,79.3425,0.86731
ANDL1G11.gd,455407330,433585234,2160842,200.656,0.952082
ANDL1G12.gd,312268212,273883952,2160842,126.749,0.877079
ANDL1G13.gd,900291225,845767713,2160842,391.407,0.939438
ANDL1G14.gd,539624030,502920758,2160842,232.743,0.931984
ANDL1G1.gd,987317759,647477828,2160842,299.641,0.655795
ANDL1G2.gd,106945013,94774680,2160842,43.8601,0.8862
ANDL1G3.gd,976629745,936745444,2160842,433.509,0.959161
ANDL1G4.gd,48137841,42686914,2160842,19.7548,0.886764
ANDL1G5.gd,48239415,44075966,2160842,20.3976,0.913692
ANDL1G6.gd,67217822,61387719,2160842,28.4092,0.913266
ANDL1G7.gd,723758728,451468001,2160842,208.932,0.623782
ANDL1G8.gd,749449543,715657136,2160842,331.194,0.95491
ANDL1G9.gd,125488643,113494625,2160842,52.5233,0.904421
ANDL2G0.gd,208234124,154033874,2160842,71.2842,0.739715
ANDL2G10.gd,77358901,69356589,2160842,32.097,0.896556
ANDL2G11.gd,1440296895,1328978494,2160842,615.028,0.922711
ANDL2G12.gd,780619275,711502776,2160842,329.271,0.911459
ANDL2G13.gd,1489307580,1429876299,2160842,661.722,0.960095
ANDL2G14.gd,119784394,112072015,2160842,51.865,0.935614
ANDL2G1.gd,666517863,529001759,2160842,244.813,0.79368
ANDL2G2.gd,804906086,776795747,2160842,359.488,0.965076
ANDL2G3.gd,544599163,516818685,2160842,239.175,0.948989
ANDL2G4.gd,79943510,73500569,2160842,34.0148,0.919406
ANDL2G5.gd,145092507,133421964,2160842,61.7454,0.919565
ANDL2G6.gd,628853438,590560360,2160842,273.301,0.939107
ANDL2G7.gd,1785400846,1660458436,2160842,768.431,0.93002
ANDL2G8.gd,1416742917,1356293673,2160842,627.669,0.957332
ANDL2G9.gd,898267080,840938053,2160842,389.171,0.936178
ANDL3G0.gd,419989867,290409568,2160842,134.396,0.691468
ANDL3G10.gd,105039627,93061317,2160842,43.0672,0.885964
ANDL3G11.gd,1558779176,1513240898,2160842,700.302,0.970786
ANDL3G12.gd,1583856896,1500130784,2160842,694.234,0.947138
ANDL3G13.gd,1941897365,1605295527,2160842,742.903,0.826663
ANDL3G14.gd,845583832,774528095,2160842,358.438,0.915968
ANDL3G1.gd,96741262,88358012,2160842,40.8905,0.913344
ANDL3G2.gd,1092138679,1047378018,2160842,484.708,0.959016
ANDL3G3.gd,142049236,121855337,2160842,56.3925,0.857839
ANDL3G4.gd,355331940,324863841,2160842,150.341,0.914255
ANDL3G5.gd,1787497052,1685788696,2160842,780.154,0.9431
ANDL3G6.gd,741141619,690276619,2160842,319.448,0.931369
ANDL3G7.gd,2184063761,2029307843,2160842,939.128,0.929143
